"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Oct 26 15:50:22 GMT 2024","Sat Oct 26 15:50:22 GMT 2024","0","","test_API","","","","test_get_messages_array",""
"broken","Sat Oct 26 15:50:37 GMT 2024","Sat Oct 26 15:50:37 GMT 2024","0","","test_Front","TestMessage","","","test_send_message_with_mention",""
"broken","Sat Oct 26 15:50:23 GMT 2024","Sat Oct 26 15:50:23 GMT 2024","0","","test_Front","TestMessage","","","test_send_message",""
"broken","Sat Oct 26 15:50:37 GMT 2024","Sat Oct 26 15:50:37 GMT 2024","0","","test_Front","TestNegative","","","test_send_message_with_non_exist_user",""
"failed","Sat Oct 26 15:50:22 GMT 2024","Sat Oct 26 15:50:22 GMT 2024","0","","test_API","","","","test_create_message_with_text_and_attachment",""
"broken","Sat Oct 26 15:50:37 GMT 2024","Sat Oct 26 15:50:37 GMT 2024","0","","test_Front","TestMessage","","","test_add_reaction",""
"failed","Sat Oct 26 15:50:22 GMT 2024","Sat Oct 26 15:50:22 GMT 2024","0","","test_API","","","","test_get_message",""
"broken","Sat Oct 26 15:50:37 GMT 2024","Sat Oct 26 15:50:37 GMT 2024","0","","test_Front","TestMessage","","","test_delete_reaction",""
"broken","Sat Oct 26 15:50:37 GMT 2024","Sat Oct 26 15:50:37 GMT 2024","0","","test_Front","TestMessage","","","test_delete_message",""
"broken","Sat Oct 26 15:50:37 GMT 2024","Sat Oct 26 15:50:37 GMT 2024","0","","test_Front","TestMessage","","","test_edit_message",""
"failed","Sat Oct 26 15:50:23 GMT 2024","Sat Oct 26 15:50:23 GMT 2024","102","","test_API","","","","test_add_reaction_to_nonexistent_message",""
"failed","Sat Oct 26 15:50:22 GMT 2024","Sat Oct 26 15:50:22 GMT 2024","0","","test_API","","","","test_add_reaction",""
"failed","Sat Oct 26 15:50:22 GMT 2024","Sat Oct 26 15:50:22 GMT 2024","0","","test_API","","","","test_remove_reaction",""
"failed","Sat Oct 26 15:50:22 GMT 2024","Sat Oct 26 15:50:23 GMT 2024","86","","test_API","","","","test_create_message_without_content",""
"failed","Sat Oct 26 15:50:23 GMT 2024","Sat Oct 26 15:50:23 GMT 2024","90","","test_API","","","","test_remove_reaction_from_nonexistent_message",""
"failed","Sat Oct 26 15:50:23 GMT 2024","Sat Oct 26 15:50:23 GMT 2024","95","","test_API","","","","test_get_message_with_invalid_id",""
