"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Oct 26 15:02:10 GMT 2024","Sat Oct 26 15:02:10 GMT 2024","0","","test_Front","TestMessage","","","test_edit_message",""
"failed","Sat Oct 26 15:01:54 GMT 2024","Sat Oct 26 15:01:54 GMT 2024","146","","test_API","","","","test_create_message_without_content",""
"broken","Sat Oct 26 15:02:10 GMT 2024","Sat Oct 26 15:02:10 GMT 2024","0","","test_Front","TestMessage","","","test_add_reacrion",""
"failed","Sat Oct 26 15:01:55 GMT 2024","Sat Oct 26 15:01:55 GMT 2024","87","","test_API","","","","test_remove_reaction_from_nonexistent_message",""
"broken","Sat Oct 26 15:02:10 GMT 2024","Sat Oct 26 15:02:10 GMT 2024","0","","test_Front","TestMessage","","","test_delete_message",""
"failed","Sat Oct 26 15:01:54 GMT 2024","Sat Oct 26 15:01:54 GMT 2024","0","","test_API","","","","test_add_reaction",""
"failed","Sat Oct 26 15:01:54 GMT 2024","Sat Oct 26 15:01:55 GMT 2024","102","","test_API","","","","test_add_reaction_to_nonexistent_message",""
"broken","Sat Oct 26 15:01:55 GMT 2024","Sat Oct 26 15:01:55 GMT 2024","0","","test_Front","TestMessage","","","test_send_message",""
"failed","Sat Oct 26 15:01:54 GMT 2024","Sat Oct 26 15:01:54 GMT 2024","0","","test_API","","","","test_get_messages_array",""
"failed","Sat Oct 26 15:01:54 GMT 2024","Sat Oct 26 15:01:54 GMT 2024","125","","test_API","","","","test_get_message_with_invalid_id",""
"failed","Sat Oct 26 15:01:54 GMT 2024","Sat Oct 26 15:01:54 GMT 2024","0","","test_API","","","","test_get_message",""
"broken","Sat Oct 26 15:02:10 GMT 2024","Sat Oct 26 15:02:10 GMT 2024","0","","test_Front","TestMessage","","","test_delete_reacrion",""
"failed","Sat Oct 26 15:01:54 GMT 2024","Sat Oct 26 15:01:54 GMT 2024","0","","test_API","","","","test_create_message_with_text_and_attachment",""
"broken","Sat Oct 26 15:02:10 GMT 2024","Sat Oct 26 15:02:10 GMT 2024","0","","test_Front","TestNegative","","","test_send_message_with_non_exist_user",""
"failed","Sat Oct 26 15:01:54 GMT 2024","Sat Oct 26 15:01:54 GMT 2024","0","","test_API","","","","test_remove_reaction",""
"broken","Sat Oct 26 15:02:10 GMT 2024","Sat Oct 26 15:02:10 GMT 2024","0","","test_Front","TestMessage","","","test_send_message_with_mention",""
